title,slug,productid,missing_tab_dataids,url
Desinatörlük Canlı (Online) Eğitimi 2 ay,desinatorluk-canli-online-egitimi-2-ay-1627,1627,Ders İçerikleri: 105; Detaylı Müfredat: 579,/urun/desinatorluk-canli-online-egitimi-2-ay-1627/
Desinatörlük Eğitimi Özel Ders 20 SAAT,desinatorluk-egitimi-ozel-ders-20-saat-1413,1413,Ders İçerikleri: 1219; Detaylı Müfredat: 1713,/urun/desinatorluk-egitimi-ozel-ders-20-saat-1413/
Desinatörlük Eğitimi Özel Ders 30 SAAT,desinatorluk-egitimi-ozel-ders-30-saat-1414,1414,Ders İçerikleri: 1219; Detaylı Müfredat: 1713,/urun/desinatorluk-egitimi-ozel-ders-30-saat-1414/
Desinatörlük Yüz Yüze Eğitimi 2 ay,desinatorluk-yuz-yuze-egitimi-2-ay-1628,1628,Ders İçerikleri: 189; Detaylı Müfredat: 577,/urun/desinatorluk-yuz-yuze-egitimi-2-ay-1628/
Film ve Animasyon için Storyboard Canlı (Online) Eğitimi 2 ay,film-ve-animasyon-icin-storyboard-canli-online-egitimi-2-ay-1443,1443,Ders İçerikleri: 77; Detaylı Müfredat: 649,/urun/film-ve-animasyon-icin-storyboard-canli-online-egitimi-2-ay-1443/
Film ve Animasyon için Storyboard Yüz Yüze Eğitimi 2 ay,film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-2-ay-1366,1366,Ders İçerikleri: 648; Detaylı Müfredat: 646,/urun/film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-2-ay-1366/
Flutter İle Mobil Uygulama Geliştirme Canlı (Online) Eğitimi 4 ay,flutter-ile-mobil-uygulama-gelistirme-canli-online-egitimi-4-ay-1278,1278,Ders İçerikleri: 97; Detaylı Müfredat: 591,/urun/flutter-ile-mobil-uygulama-gelistirme-canli-online-egitimi-4-ay-1278/
Flutter İle Mobil Uygulama Geliştirme Yüz Yüze Eğitimi 4 ay,flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-egitimi-4-ay-1238,1238,Ders İçerikleri: 550; Detaylı Müfredat: 593,/urun/flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-egitimi-4-ay-1238/
Flutter İle Mobil Uygulama Geliştirme Yüz Yüze Özel Ders 40 SAAT,flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-ozel-ders-40-saat-1343,1343,DERS İÇERİKLERİ: 1413,/urun/flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-ozel-ders-40-saat-1343/
Front-End Development Online(Canlı) Eğitimi 4 ay,front-end-development-onlinecanli-egitimi-4-ay-1213,1213,Ders İçerikleri: 476,/urun/front-end-development-onlinecanli-egitimi-4-ay-1213/
Front-End Development Yüz Yüze Eğitimi 4 ay,front-end-development-yuz-yuze-egitimi-4-ay-1212,1212,Ders İçerikleri: 634,/urun/front-end-development-yuz-yuze-egitimi-4-ay-1212/
Full Stack Development Canlı ( Online ) Eğitim,full-stack-development-canli-online-egitim-1563,1563,Ders İçerikleri: 758,/urun/full-stack-development-canli-online-egitim-1563/
Full Stack Development Yüz Yüze Eğitim (Staj Garantili) 10 ay,full-stack-development-yuz-yuze-egitim-staj-garantili-10-ay-1564,1564,Ders İçerikleri: 754,/urun/full-stack-development-yuz-yuze-egitim-staj-garantili-10-ay-1564/
Gelişmiş AutoCAD Elektrik Projeciliği Eğitimi (Yapı Denetim Odaklı – Uygulamalı) 20 SAAT,gelismis-autocad-elektrik-projeciligi-egitimi-yapi-denetim-odakli-uygulamali-20-saat-1636,1636,Ders İçerikleri: 1829,/urun/gelismis-autocad-elektrik-projeciligi-egitimi-yapi-denetim-odakli-uygulamali-20-saat-1636/
Grafik Tasarım Ve Video Efekt Canlı (Online) Eğitimi 8 ay (Staj Garantili),grafik-tasarim-ve-video-efekt-canli-online-egitimi-8-ay-staj-garantili-1181,1181,Ders İçerikleri: 109; Detaylı Müfredat: 574,/urun/grafik-tasarim-ve-video-efekt-canli-online-egitimi-8-ay-staj-garantili-1181/
Grafik Tasarım ve Video Efekt Uzmanlığı Canlı (Online) Eğitimi (Staj Garantili),grafik-tasarim-ve-video-efekt-canli-online-egitimi,564,Ders İçerikleri: 109; Detaylı Müfredat: 574,/urun/grafik-tasarim-ve-video-efekt-canli-online-egitimi/
Grafik Tasarım ve Video Efekt Uzmanlığı Canlı (Online) Eğitimi 4 ay,grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-4-ay-1488,1488,DERS İÇERİKLERİ: 1268; Detaylı Müfredat: 1269,/urun/grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-4-ay-1488/
