"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://unityverseacademy.com/blog-detay/semantik-teknoloji-depo-stok-takip-uygulamasi-tanitimi-251/","1007","227","4,436","36,157","Hard","","","","","","","","","","tr","4ce50197394f070db621d3f6b9285dba","Indexable",""
"https://unityverseacademy.com/urun/flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-egitimi-606/","3462","685","5,054","2,912","Very Hard","","","","","","","","","","tr","e6fc7ae555cbae9f976bfe6097831215","Indexable",""
"https://unityverseacademy.com/urun/lumion-egitimi-1130/","291","102","2,853","61,195","Normal","","","","","","","","","","tr","8941d718e94f0519873247277d00faf4","Indexable",""
"https://unityverseacademy.com/urun/adobe-photoshop-ve-adobe-illustrator-onlinecanli-egitim-1001/","3538","794","4,456","10,300","Very Hard","","","","","","","","","","tr","cfb04cfa79723b2b5de61b48a61d8b63","Indexable",""
"https://unityverseacademy.com/urun/cocuklar-icin-unity-ile-oyun-gelistirme-canli-online-egitimi-1380/","3300","676","4,882","5,916","Very Hard","","","","","","","","","","tr","71695b8088553f683b542af0ff76d256","Indexable",""
"https://unityverseacademy.com/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-online-1540/","1589","375","4,237","36,954","Hard","","","","","","","","","","tr","6fc66aaecc9090b7810183a86a25ee06","Indexable",""
"https://unityverseacademy.com/uploads/fm/gokhan_sahinkaya_(1).pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-oyun-gelistirme-150-saatlik-kapsamli-blueprintmufredati-yuz-yuze-egitim-1116/","2753","615","4,476","17,235","Very Hard","","","","","","","","","","tr","88bcf32aeafa81e830cd7d44e0047d8a","Indexable",""
"https://unityverseacademy.com/urun/film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-ozel-ders-1287/","471","130","3,623","42,938","Hard","","","","","","","","","","tr","fa89f3d8f5de1f2fb216e5c067716dff","Indexable",""
"https://unityverseacademy.com/blog-detay/substance-painter-egitimi-286/","723","167","4,329","44,825","Hard","","","","","","","","","","tr","d020571d95410a8b851ec44778846f7f","Indexable",""
"https://unityverseacademy.com/urun/fizik-egitimi-ozel-ders-1429/","419","130","3,223","47,286","Hard","","","","","","","","","","tr","28971a6ceb9c21cfb24be3cf00ab8d40","Indexable",""
"https://unityverseacademy.com/urun/java-yazilim-egitimi-yuz-yuze-821/","2858","586","4,877","7,820","Very Hard","","","","","","","","","","tr","54102e4c1b1fd97d912d8a05288a4fdb","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-yuz-yuze-egitimi-612/","3286","734","4,477","15,996","Very Hard","","","","","","","","","","tr","dbf2f2ecd116e76ed7cbccad8bc7e0c","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-yuz-yuze-1535/","1435","337","4,258","37,322","Hard","","","","","","","","","","tr","c4ed0d491b3bfef1287862d39b20b787","Indexable",""
"https://unityverseacademy.com/urun/ingilizce-egitimi-ozel-ders-1442/","295","101","2,921","63,922","Normal","","","","","","","","","","tr","eed663058656bb932f85d15cc7f23b8d","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-metaverse-gelistirme-yuz-yuze-egitim-850/","1924","430","4,474","10,624","Very Hard","","","","","","","","","","tr","f82527efdf4944cd85bad2786e382c43","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-egitimi-ozel-ders-1412/","2506","610","4,108","22,527","Very Hard","","","","","","","","","","tr","fa151fee7d566c4d1336524b4360523d","Indexable",""
"https://unityverseacademy.com/urun/it-danismanlik-hizmeti-ozel-ders-1435/","427","129","3,310","49,729","Hard","","","","","","","","","","tr","51cfcce5e1f9ffe1406bcdab125cdf4a","Indexable",""
